Date Time,Temperature °C,Dew Point  °C,Humidity %,Wind Speed kmph,Demand (MW)
01-01-2018 00:00,52,52,100,0 ,2923
01-01-2018 00:15, , , , ,2897
01-01-2018 00:30,52,52,100,0 ,2864
01-01-2018 00:45, , , , ,2836
01-01-2018 01:00,45,45,100,0 ,2808
01-01-2018 01:15, , , , ,2770
01-01-2018 01:30,50,50,100,0 ,2778
01-01-2018 01:45, , , , ,2761
01-01-2018 02:00,46,45,93 ,5 ,2722
01-01-2018 02:15, , , , ,2672
01-01-2018 02:30,50,50,100,0 ,2710
01-01-2018 02:45, , , , ,2702
01-01-2018 03:00,48,48,100,0 ,2702
01-01-2018 03:15, , , , ,2698
01-01-2018 03:30,48,48,100,0 ,2686
01-01-2018 03:45, , , , ,2676
01-01-2018 04:00,45,45,100,5 ,2658
01-01-2018 04:15, , , , ,2650
01-01-2018 04:30,50,48,94 ,0 ,2691
01-01-2018 04:45, , , , ,2742
01-01-2018 05:00,48,48,100,0 ,2787
01-01-2018 05:15, , , , ,2849
01-01-2018 05:30,48,48,100,0 ,2899
01-01-2018 05:45, , , , ,2982
01-01-2018 06:00,48,48,100,0 ,3083
01-01-2018 06:15, , , , ,3138
01-01-2018 06:30,48,48,100,0 ,3195
01-01-2018 06:45, , , , ,3202
01-01-2018 07:00,48,48,100,0 ,3205
01-01-2018 07:15, , , , ,3235
01-01-2018 07:30,46,46,100,3 ,3267
01-01-2018 07:45, , , , ,3303
01-01-2018 08:00,50,48,94 ,0 ,3296
01-01-2018 08:15,64,59,83 ,6 ,3306
01-01-2018 08:30,50,48,94 ,5 ,3293
01-01-2018 08:45, , , , ,3109
01-01-2018 09:00,50,48,94 ,5 ,3074
01-01-2018 09:15,84,59,42 ,12,3024
01-01-2018 09:30,50,48,94 ,3 ,3104
01-01-2018 09:45, , , , ,3184
01-01-2018 10:00,50,48,94 ,3 ,3222
01-01-2018 10:15, , , , ,3191
01-01-2018 10:30,52,50,94 ,3 ,3176
01-01-2018 10:45, , , , ,3120
01-01-2018 11:00,52,48,88 ,3 ,3098
01-01-2018 11:15,82,68,62 ,14,3099
01-01-2018 11:30,54,50,88 ,5 ,3024
01-01-2018 11:45, , , , ,3001
01-01-2018 12:00,55,50,82 ,3 ,2970
01-01-2018 12:15,88,81,79 ,0 ,2944
01-01-2018 12:30,57,50,77 ,6 ,2888
01-01-2018 12:45,84,66,55 ,14,2820
01-01-2018 13:00,59,50,72 ,3 ,2774
01-01-2018 13:15,86,81,84 ,0 ,2674
01-01-2018 13:30,59,50,72 ,5 ,2654
01-01-2018 13:45,81,81,100,7 ,2645
01-01-2018 14:00,61,52,72 ,5 ,2660
01-01-2018 14:15, , , , ,2647
01-01-2018 14:30,61,52,72 ,3 ,2633
01-01-2018 14:45,82,81,94 ,5 ,2600
01-01-2018 15:00,61,50,68 ,3 ,2584
01-01-2018 15:15,90,82,79 ,14,2574
01-01-2018 15:30,61,52,72 ,0 ,2547
01-01-2018 15:45, , , , ,2584
01-01-2018 16:00,57,52,82 ,7 ,2652
01-01-2018 16:15, , , , ,2705
01-01-2018 16:30,61,50,68 ,3 ,2819
01-01-2018 16:45, , , , ,2972
01-01-2018 17:00,59,54,82 ,0 ,3175
01-01-2018 17:15, , , , ,3446
01-01-2018 17:30,57,54,88 ,0 ,3604
01-01-2018 17:45,84,81,89 ,0 ,3709
01-01-2018 18:00,55,52,88 ,0 ,3747
01-01-2018 18:15, , , , ,3718
01-01-2018 18:30,55,54,94 ,0 ,3767
01-01-2018 18:45, , , , ,3794
01-01-2018 19:00,55,52,88 ,0 ,3798
